model,roc_auc,pr_auc,brier,accuracy
Logistic Regression,0.9999883933012768,0.9999495671634833,0.004650069542532277,0.9955
Random Forest,0.9998292157187864,0.9992703390674935,0.00619826582667875,0.9935
Decision Tree,0.9971430940142597,0.9950743607226497,0.003763381090001225,0.9955
